State,2006,2007,2008,2009,2010,2011,2012
Alabama,0,0,0,0,0,0,0
Alaska,0,0,0,0,0,0,0
Arizona,0,0,0,0,0,1,1
Arkansas,0,0,0,1,1,1,1
California,0,0,0,0,0,0,0
Colorado,0,0,0,0,1,1,1
Connecticut,1,1,1,1,1,1,1
Delaware,0,0,0,0,0,0,0
Florida,0,0,0,0,0,0,0
Georgia,1,1,1,1,1,1,1
Hawaii,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0
Indiana,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0
Kansas,0,0,0,0,0,0,0
Kentucky,0,0,0,0,0,0,0
Louisiana,0,0,0,0,0,0,0
Maine,1,1,1,1,1,1,1
Maryland,1,1,1,1,1,1,1
Massachusetts,1,1,1,1,1,1,1
Michigan,0,0,0,0,0,0,0
Minnesota,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0
Missouri,0,0,0,0,0,0,0
Montana,0,0,0,0,0,1,1
Nebraska,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,0
New Hampshire,0,0,0,1,1,1,1
New Jersey,1,1,1,1,1,1,1
New Mexico,0,0,0,0,0,0,0
New York,1,1,1,1,1,1,1
North Carolina,1,1,1,1,1,1,1
North Dakota,0,0,0,0,0,0,0
Ohio,0,0,0,0,0,0,0
Oklahoma,0,0,0,0,0,0,0
Oregon,0,0,1,1,1,1,1
Pennsylvania,1,1,1,1,1,1,1
Rhode Island,0,0,0,0,0,0,0
South Carolina,0,0,0,0,0,0,0
South Dakota,0,0,0,0,0,0,0
Tennessee,0,0,0,0,0,0,0
Texas,0,0,0,0,0,0,0
Utah,0,0,0,0,0,0,0
Vermont,1,1,1,1,1,1,1
Virginia,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0
Washington DC,0,0,1,1,1,1,1
West Virginia,1,1,1,1,1,1,1
Wisconsin,0,0,0,0,0,0,0
Wyoming,0,0,0,0,0,0,0
